subject_id	subject_no	subject_name	subject_load	subject_type_id	subject_category_id
	ACD03111-P	?????? - ????	1	3	2
	MEE01104	???? ?????	1	1	2
	COMP0315-T	???????? ??????? - ????	1	2	1
	COMP0315-P	???????? ??????? - ????	2	2	2
					
	ACD03108	???????	3	1	1
	ACD03002	?????? ?? ????? ?????? ????????	3	2	1
	EEE13101	?????????? I	3	3	1
	EEE33100-T	????? ????????? - ????	2	3	1
	EEE33100-P	????? ????????? - ????	1	3	2
	EEE13200-T	????? ????? ?????? - ????	2	3	1
	EEE13200-P	????? ????? ?????? - ????	1	3	2
	EEE11160	???? ???????	1	3	2
	EEE11200	??????? ?????????? ??????? ???????	1	3	2
	BUD01144	????? ??????? I	1	2	2
					
	EEE13102-T	?????????? II - ????	2	3	1
	EEE13102-P	?????????? II - ????	1	3	2
	EEE33201-T	??????? ????? - ????	2	3	1
	EEE33201-P	??????? ????? - ????	1	3	2
	EEE33205-T	????? ??????? - ????	2	3	1
	EEE33205-P	????? ??????? - ????	1	3	2
	EEE33207-T	?????????? ????????? - ????	2	3	1
	EEE33207-P	?????????? ????????? - ????	1	3	2
	EEE33209-T	????????? ????????? - ????	2	3	1
	EEE33209-P	????????? ????????? - ????	1	3	2
	ACD03120	????? ?????	3	2	1
	BUS02245-T	????? ??????? II - ????	1	2	1
	BUS02245-P	????? ??????? II - ????	1	2	2
					
	EEE73201-T	??????? ??????? ??????? - ????	2	3	1
	EEE73201-P	??????? ??????? ??????? - ????	1	3	2
	EEE73202	???? ????? 	3	3	1
	EEE02203	????? ??????	2	1	2
	EEE02202	????? ??????	2	3	2
	EEE93208-T	????? ????? ????????? - ????	1	3	1
	EEE93208-P	????? ????? ????????? - ????	1	3	2
	EEE33206-T	????? ???????? ???????? - ????	2	3	1
	EEE33206-P	????? ???????? ???????? - ????	1	3	2
	EEE33208	????? ????????? ???????	3	3	1
